word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
actual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actuality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acuity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acumen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acupuncture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acutely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adapt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adaptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
added,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addendum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adder,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
addiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
address,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addressee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addresses,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adept,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adequacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adequate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adherence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adherent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adhering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
adhesion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adhesive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adieu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adipose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjacency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjacent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjoining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjourn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjournment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjudicate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
adjudication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjunct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjuvant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administrative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
admirable,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
admiral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
admiralty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admiration,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
admire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
admirer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admissibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admissible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
admission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admittance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admitted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admixture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admonition,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adolescence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adolescent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adopt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adorable,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
adoration,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
adore,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
adorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adornment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adrift,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
adult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adulterated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adultery,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
advance,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advancement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advancing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advantage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advantageous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advent,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
adventure,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adventurer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventurous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversary,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adverse,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
adversity,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
advertise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
advisable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
advise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
advised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
advisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adviser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
advocacy,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
advocate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aegis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aerial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aerodrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aerodynamics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aeronautics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aeroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aesthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aesthetics,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
aetiology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affecting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affection,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
affections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affiche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affidavit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affiliated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affiliation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affirm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
affirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affirmative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affirmatively,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
affix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afflict,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
afflicted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affliction,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
affluence,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
affluent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affront,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
afield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aforementioned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aforesaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afraid,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
afresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aftermath,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aftertaste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afterthought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
agate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agglomeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggravated,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggravating,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aggravation,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggression,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aggressive,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aggressor,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aghast,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
agile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agitated,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agitation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agonizing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
agony,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
agree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agreeable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
agreed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
agreeing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
agreement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
agricultural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aiding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ailing,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ailment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aimless,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airbag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airlift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airport,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
airs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
airship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aisle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
alabaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
alarming,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
alb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
album,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alchemy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcoholism,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
alcove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alertness,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
alerts,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
alfalfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebraic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algorithm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alibi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alien,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
alienate,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alienated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alienation,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
alight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aligned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alignment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alimentation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alimony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aliquot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alive,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
alkali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alkaloids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allegation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alleged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allegiance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
allegorical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allegory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alleviate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alleviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
