Book_Name;book_id;guten_genre;Author_Name
Bucky O'Connor: A Tale of the Unfenced Border;pg1809.epub;Western Stories;Raine| William MacLeod
The Case of the Lamp That Went Out;pg1832.epub;Detective and Mystery;Groner| Auguste
The Case of the Registered Letter;pg1833.epub;Detective and Mystery;Groner| Auguste
The Case of the Pocket Diary Found in the Snow;pg1834.epub;Detective and Mystery;Groner| Auguste
The Case of the Pool of Blood in the Pastor's Study;pg1835.epub;Detective and Mystery;Groner| Auguste
The Case of the Golden Bullet;pg1836.epub;Detective and Mystery;Groner| Auguste
The Vision Splendid;pg1846.epub;Western Stories;Raine| William MacLeod
The Yellow Crayon;pg1849.epub;Detective and Mystery;Oppenheim| E. Phillips
The Woman in the Alcove;pg1851.epub;Detective and Mystery;Green| Anna Katharine
Initials Only;pg1857.epub;Detective and Mystery;Green| Anna Katharine
Painted Windows;pg1875.epub;Literary;Peattie| Elia Wilkinson
A Millionaire of Yesterday;pg1878.epub;Detective and Mystery;Oppenheim| E. Phillips
The Bittermeads Mystery;pg1888.epub;Detective and Mystery;Punshon| E. R.
The Seventh Man;pg1897.epub;Western Stories;Brand| Max
Sight Unseen;pg1960.epub;Detective and Mystery;Rinehart| Mary Roberts
The Confession;pg1963.epub;Detective and Mystery;Rinehart| Mary Roberts
A Poor Wise Man;pg1970.epub;Detective and mystery ;Rinehart, Mary Roberts
Tarzan the Terrible;pg2020.epub;Fantasy ;Burroughs, Edgar Rice
The Lock and Key Library: Classic Mystery and Detective Stories: Modern English;pg2038.epub;Detective and mystery ;Castle, Egerton
The Valet's Tragedy, and Other Studies;pg2073.epub;History;Lang, Andrew
The Sign of Four;pg2097.epub;Detective and Mystery;Connan| Doyle
The Works of Edgar Allan Poe I;pg2147.epub;Detective and Mystery;Poe| Edgar Allan
The Works of Edgar Allan Poe II;pg2148.epub;Detective and Mystery;Poe| Edgar Allan
The Works of Edgar Allan Poe III;pg2149.epub;Detective and Mystery;Poe| Edgar Allan
The Works of Edgar Allan Poe IV;pg2150.epub;Detective and Mystery;Poe| Edgar Allan
Phyllis of Philistia;pg2155.epub;Literary;Moore| Frank Frankfort
Havoc;pg2287.epub;Detective and Mystery;Oppenheim| E. Phillips
The Iceberg Express;pg2325.epub;Fantasy ;Cory, David
The Angel and the Author, and Others;pg2368.epub;wit and humor;Jerome, Jerome K. (Jerome Klapka)
Madame Bovary;pg2413.epub;Romance fiction;Aveling, Eleanor Marx
The Sleeping-Car: A Farce;pg2506.epub;Drama;Howells, William Dean
Two Men of Sandy Bar: A Drama;pg2570.epub;Drama;Harte, Bret
Isaac Bickerstaff, Physician and Astrologer;pg2644.epub;wit and humor;Morley, Henry
Burlesques;pg2675.epub;Literary;Lynch| Lawrence L.
Five Tales;pg2684.epub;Literary;Galsworthy| John
Moby Dick;pg2701.epub;Sea and Adventure;Melville| Herman
The World's Desire;pg2763.epub;Fantasy ;Haggard, H. Rider (Henry Rider)
The Good Soldier;pg2775.epub;Romance fiction;Ford, Ford Madox
The Phantom 'Rickshaw, and Other Ghost Stories;pg2806.epub;Horror;Kipling, Rudyard
The Hound of the Baskervilles;pg2852.epub;Detective and Mystery;Connan| Doyle
The House of the Wolfings;pg2885.epub;Fantasy ;Morris, William
Herodes und Mariamne: Eine Tragödie in fünf Akten;pg2887.epub;Drama;Hebbel, Friedrich
Justice;pg2911.epub;Literary;Galsworthy| John
The Wood Beyond the World;pg3055.epub;Fantasy ;Morris, William
Römische Geschichte — Band 1;pg3060.epub;History;Mommsen, Theodor
Römische Geschichte — Band 2;pg3061.epub;History;Mommsen, Theodor
Römische Geschichte — Band 3;pg3062.epub;History;Mommsen, Theodor
Römische Geschichte — Band 4;pg3063.epub;History;Mommsen, Theodor
Römische Geschichte — Band 5;pg3064.epub;History;Mommsen, Theodor
Washington Square Plays;pg3068.epub;Drama;Beach, Lewis
Two on a Tower;pg3146.epub;Romance fiction;Hardy, Thomas
Our American Cousin;pg3158.epub;Drama;Taylor, Tom
Mark Twain's Burlesque Autobiography;pg3175.epub;wit and humor;Twain, Mark
The Entire Project Gutenberg Works of Mark Twain;pg3200.epub;literature;Twain, Mark
The Garotters;pg3237.epub;Drama;Howells, William Dean
Schnock: ein niederländisches Gemälde;pg3297.epub;Fiction;Hebbel, Friedrich
American Literary Centers (from Literature and Life);pg3382.epub;literature;Howells, William Dean
Complete Project Gutenberg William Dean Howells Works;pg3400.epub;literature;Howells, William Dean
The Elevator;pg3401.epub;Drama;Howells, William Dean
The Parlor Car;pg3402.epub;Drama;Howells, William Dean
The Register;pg3403.epub;Drama;Howells, William Dean
Die Versuchung des Pescara;pg3675.epub;History;Meyer, Conrad Ferdinand
File No. 113;pg3803.epub;Detective and mystery ;Gaboriau, Emile
Simon the Jester;pg3828.epub;Humorous and Wit and Satire;Locke| William John
Omoo Adventures in the South Seas;pg4045.epub;Sea and Adventure;Melville| Herman
The Garden of Survival;pg4046.epub;Ghost and Horror;Blackwood| Algernon
Agnes Bernauer;pg4079.epub;Drama;Hebbel, Friedrich
Gyges und sein Ring;pg4080.epub;Drama;Hebbel, Friedrich
The Adventures of Peregrine Pickle;pg4084.epub;Literary;Smollett| T.
The Golden Bowl — Complete;pg4264.epub;Romance fiction;James, Henry
Sky Island;pg4356.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
The Sea Fairies;pg4358.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Vendetta: A Story of One Forgotten;pg4360.epub;Romance fiction;Corelli, Marie
Jenseits der Schriftkultur — Band 1;pg4371.epub;History;Nadin, Mihai
Jenseits der Schriftkultur — Band 2;pg4372.epub;History;Nadin, Mihai
Jenseits der Schriftkultur — Band 3;pg4373.epub;History;Nadin, Mihai
Jenseits der Schriftkultur — Band 4;pg4374.epub;History;Nadin, Mihai
Jenseits der Schriftkultur — Band 5;pg4375.epub;History;Nadin, Mihai
The Forsyte Saga;pg4397.epub;Literary;Galsworthy| John
The Adventures of Harry Richmond — Complete;pg4452.epub;Adventure;Meredith, George
Aaron's Rod;pg4520.epub;Romance fiction;Lawrence, D. H. (David Herbert)
The Good Time Coming;pg4632.epub;Literary;Arthur| T. S.
Uncle William: The Man Who Was Shif'less;pg4634.epub;Literary;Lee| Jennette
God's Good Man: A Simple Love Story;pg4653.epub;Love and Romance;Corelli| Marie
Outpost;pg4676.epub;Literary;Austin| Jane G.
When Egypt Went Broke: A Novel;pg4733.epub;Literary;Day| Holman
At the Villa Rose;pg4745.epub;Detective and Mystery;Mason| A. E. W.
The Game of Logic;pg4763.epub;Literary;Carroll| Lewis
Loyalties;pg4765.epub;Literary;Galsworthy| John
Black Caesar's Clan : A Florida Mystery Story;pg4789.epub;Detective and mystery ;Terhune, Albert Payson
Half a Rogue;pg4790.epub;Literary;MacGrath| Harold
In Freedom's Cause : A Story of Wallace and Bruce;pg4792.epub;Adventure;Henty, G. A. (George Alfred)
The Fiend's Delight;pg4793.epub;wit and humor;Bierce, Ambrose
Dawn;pg4794.epub;Literary;Adams| Mrs. H. A.
The Circassian Slave- the Sultan's favorite : a story of Constantinople and the Caucasus;pg4795.epub;Literary;Ballou| Maturin Murray
Hilda Wade- a Woman with Tenacity of Purpose;pg4903.epub;Literary;Allen| Grant
The Lilac Sunbonnet: A Love Story;pg4918.epub;Love and Romance;Crockett| S. R.
King Midas: a Romance;pg4923.epub;Literary;Sinclair| Upton
The Fashionable Adventures of Joshua Craig: A Novel;pg4929.epub;Sea and Adventure;Phillips| David Graham
Leah Mordecai: A Novel;pg4955.epub;Literary;Abbott| Belle K.
Dantons Tod;pg5072.epub;Literature;Georg Bchner
The Romance of Elaine - Sequel to Exploits of Elaine;pg5094.epub;Detective and Mystery;Reeve| Arthur B.
The Exploits of Elaine;pg5151.epub;Detective and Mystery;Reeve| Arthur B.
Innocent : her fancy and his fact;pg5165.epub;Love and Romance;Corelli| Marie
Corpus of a Siam Mosquito;pg5176.epub;Literary;Sills| Steven
A Siren;pg5179.epub;Detective and Mystery;Trollope| Thomas Adolphus
The Confessions of Harry Lorrequer Volume 1;pg5234.epub;Literary;Lever| Charles James
The Confessions of Harry Lorrequer Volume 2;pg5235.epub;Literary;Lever| Charles James
The Confessions of Harry Lorrequer Volume 3;pg5236.epub;Literary;Lever| Charles James
The Confessions of Harry Lorrequer Volume 4;pg5237.epub;Literary;Lever| Charles James
The Confessions of Harry Lorrequer Volume 5;pg5238.epub;Literary;Lever| Charles James
The Confessions of Harry Lorrequer Volume 6;pg5239.epub;Literary;Lever| Charles James
The Confessions of Harry Lorrequer Complete;pg5240.epub;Literary;Lever| Charles James
Woyzeck;pg5322.epub;Drama;Büchner, Georg
Effi Briest;pg5323.epub;Fiction;Fontane, Theodor
The Stillwater Tragedy;pg5435.epub;Detective and mystery ;Aldrich, Thomas Bailey
At Last: A Novel;pg5622.epub;Literary;Harland| Marion
The Potato Child & Others;pg5662.epub;Christmas Stories;Woodbury| Lucia Prudence Hall
The Prose of Alfred Lichtenstein;pg5663.epub;Literary;Lichtenstein| Alfred
A Double Story;pg5676.epub;Fantasy ;MacDonald, George
The Queen of Sheba- and My Cousin the Colonel;pg5705.epub;Literary;Aldrich| Thomas Bailey
The Flyers;pg5848.epub;Literary;McCutcheon| George Barr
Michael's Crag;pg5869.epub;Literary;Allen| Grant
Helden;pg6004.epub;Drama;Shaw, Bernard
Celibates;pg6005.epub;Literary;Moore| George Augustus
Opening a Chestnut Burr;pg6028.epub;Literary;Roe| Edward Payson
The Hollow of Her Hand;pg6045.epub;Detective and mystery ;McCutcheon, George Barr
Mrs. Caudle's Curtain Lectures;pg6054.epub;wit and humor;Jerrold, Douglas William
Fran;pg6057.epub;Literary;Ellis| J. Breckenridge
Philistia;pg6060.epub;Literary;Allen| Grant
Smith and the Pharaohs, and other Tales;pg6073.epub;Adventure;Haggard, H. Rider (Henry Rider)
Deutschland Ein Wintermarchen;pg6079.epub;Literature;Heinrich Heine
From Jest to Earnest;pg6102.epub;Literary;Roe| Edward Payson
Their Yesterdays;pg6105.epub;Love and Romance;Wright| Harold Bell
A Day of Fate;pg6113.epub;Love and Romance;Roe| Edward Payson
No Defense- Volume 1;pg6292.epub;Literary;Parker| Gilbert
No Defense- Volume 2;pg6293.epub;Literary;Parker| Gilbert
No Defense- Volume 3;pg6294.epub;Literary;Parker| Gilbert
No Defense- Complete;pg6295.epub;Literary;Parker| Gilbert
Carnac's Folly- Volume 1.;pg6296.epub;Literary;Parker| Gilbert
Carnac's Folly- Volume 2.;pg6297.epub;Literary;Parker| Gilbert
Carnac's Folly- Volume 3.;pg6298.epub;Literary;Parker| Gilbert
Carnac's Folly- Complete;pg6299.epub;Literary;Parker| Gilbert
A Knight of the Nineteenth Century;pg6311.epub;Literary;Roe| Edward Payson
Self-Raised- From the Depths;pg6376.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
Once Aboard the Lugger-- The History of George and his Mary;pg6410.epub;Humorous and Wit and Satire;Hutchinson| A. S. M.
Angela Borgia;pg6421.epub;History;Meyer, Conrad Ferdinand
The Iron Woman;pg6474.epub;Literary;Deland| Margaret Wade Campbell
Kabale unde Liebe;pg6498.epub;Romance;Friedrich Schiller
The Grey Lady;pg6517.epub;Literary;Merriman| Henry Seton
Any Coincidence Is - The Day Julia & Cecil the Cat Faced a Fate Worse Than Death;pg6526.epub;Literary;Callahan| Daniel
Si'Wren of the Patriarchs;pg6592.epub;Literary;Cheney| Roland Jon
December Love;pg6616.epub;Detective and mystery ;Hichens, Robert
Theresa Raquin;pg6626.epub;Romance fiction;Vizetelly, Ernest Alfred
Märchen-Almanach auf das Jahr 1826;pg6638.epub;Fantasy;Hauff, Wilhelm
Märchen-Almanach auf das Jahr 1827;pg6639.epub;Fantasy;Hauff, Wilhelm
Märchen-Almanach auf das Jahr 1828;pg6640.epub;Fantasy;Hauff, Wilhelm
Immensee;pg6651.epub;Fiction;Storm, Theodor
The Humorous Poetry of the English Language; from Chaucer to Saxe;pg6652.epub;wit and humor;Parton, James
The Doctor's Daughter;pg6809.epub;Literary;Vera|
Cytherea;pg6847.epub;Romance fiction;Hergesheimer, Joseph
Average Jones;pg6864.epub;Detective and Mystery;Adams| Samuel Hopkins
This Simian World;pg6882.epub;wit and humor;Day, Clarence
Mitteilungen aus den Memoiren des Satan — Band 1;pg6890.epub;Literature;Hauff, Wilhelm
Mitteilungen aus den Memoiren des Satan — Band 2;pg6891.epub;Literature;Hauff, Wilhelm
The Happy Adventurers;pg6901.epub;Literary;Middleton| Lydia Miller
Aikenside;pg6954.epub;Literary;Holmes| Mary Jane
A Terrible Secret: A Novel;pg7063.epub;Literary;Fleming| May Agnes
Das Haidedorf;pg7068.epub;Fiction;Stifter, Adalbert
Fanshawe;pg7085.epub;Literary;Hawthorne| Nathaniel
Adventures of Huckleberry Finn, Chapters 01 to 05;pg7100.epub;Adventure;Twain, Mark
Adventures of Huckleberry Finn, Chapters 06 to 10;pg7101.epub;Adventure;Twain, Mark
Adventures of Huckleberry Finn, Chapters 11 to 15;pg7102.epub;Adventure;Twain, Mark
Adventures of Huckleberry Finn, Chapters 16 to 20;pg7103.epub;Adventure;Twain, Mark
Adventures of Huckleberry Finn, Chapters 21 to 25;pg7104.epub;Adventure;Twain, Mark
Adventures of Huckleberry Finn, Chapters 26 to 30;pg7105.epub;Adventure;Twain, Mark
Adventures of Huckleberry Finn, Chapters 31 to 35;pg7106.epub;Adventure;Twain, Mark
Adventures of Huckleberry Finn, Chapters 36 to the Last;pg7107.epub;Adventure;Twain, Mark
The Dolliver Romance;pg7119.epub;Literary;Hawthorne| Nathaniel
Doctor Grimshawe's Secret a Romance;pg7183.epub;Literary;Hawthorne| Nathaniel
The Adventures of Tom Sawyer, Part 1.;pg7193.epub;Adventure;Twain, Mark
The Adventures of Tom Sawyer, Part 2.;pg7194.epub;Adventure;Twain, Mark
The Adventures of Tom Sawyer, Part 3.;pg7195.epub;Adventure;Twain, Mark
The Adventures of Tom Sawyer, Part 4.;pg7196.epub;Adventure;Twain, Mark
The Adventures of Tom Sawyer, Part 5.;pg7197.epub;Adventure;Twain, Mark
The Adventures of Tom Sawyer, Part 6.;pg7198.epub;Adventure;Twain, Mark
The Adventures of Tom Sawyer, Part 7.;pg7199.epub;Adventure;Twain, Mark
The Adventures of Tom Sawyer, Part 8.;pg7200.epub;Adventure;Twain, Mark
Die Geburt der Tragödie: Versuch einer Selbstkritik;pg7206.epub;History;Nietzsche, Friedrich Wilhelm
A Connecticut Yankee in King Arthur's Court, Part 1.;pg7242.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 2.;pg7243.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 3.;pg7244.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 4.;pg7245.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 5.;pg7246.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 6.;pg7247.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 7.;pg7248.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 8.;pg7249.epub;Fantasy ;Twain, Mark
A Connecticut Yankee in King Arthur's Court, Part 9.;pg7250.epub;Fantasy ;Twain, Mark
William Tell Told Again;pg7298.epub;wit and humor;Wodehouse, P. G. (Pelham Grenville)
The Albany Depot : a Farce;pg7364.epub;Drama;Howells, William Dean
The Wishing-Ring Man;pg7424.epub;Literary;Widdemer| Margaret
Heidis Lehr- und Wanderjahre;pg7500.epub;History;Spyri, Johanna
A Mummer's Wife;pg7508.epub;Romance fiction;Moore, George Augustus
Heidi kann brauchen, was es gelernt hat;pg7512.epub;History;Spyri, Johanna
Falkland- Book 1.;pg7757.epub;Literary;Lytton| Baron Edward Bulwer Lytton
Falkland- Book 2.;pg7758.epub;Literary;Lytton| Baron Edward Bulwer Lytton
Falkland- Book 3.;pg7759.epub;Literary;Lytton| Baron Edward Bulwer Lytton
Falkland- Book 4.;pg7760.epub;Literary;Lytton| Baron Edward Bulwer Lytton
Falkland- Complete;pg7761.epub;Literary;Lytton| Baron Edward Bulwer Lytton
Fan : The Story of a Young Girl's Life;pg7827.epub;Literary;Hudson| W. H.
The Rise of Iskander;pg7842.epub;Literary;Disraeli| Earl of Beaconsfield Benjamin
The Vision of Desire;pg7855.epub;Literary;Pedler| Margaret
An Ambitious Man;pg7866.epub;Literary;Wilcox| Ella Wheeler
Tales of Daring and Danger;pg7870.epub;Adventure;Henty, G. A. (George Alfred)
In the Fog;pg7884.epub;Detective and mystery ;Davis, Richard Harding
A Fool for Love;pg8073.epub;Literary;Lynde| Francis
A Fountain Sealed;pg8087.epub;Literary;Sedgwick| Anne Douglas
Sketches and Studies;pg8091.epub;literature;Hawthorne, Nathaniel
The Misses Mallett (The Bridge Dividing);pg8131.epub;Literary;Young| E. H.
The Ghost of Guir House;pg8182.epub;Ghost and Horror;Beale| Charles Willing
Remarks;pg8220.epub;wit and humor;Nye, Bill
Komik und Humor: Eine Psychologische-Ästhetische Untersuchung;pg8298.epub;History;Lipps, Theodor
Monsieur Maurice;pg8383.epub;Literary;Edwards| Amelia Ann Blanford
Ptomaine Street: The Tale of Warble Petticoat;pg8386.epub;Literary;Wells| Carolyn
Hin und Her: Ein Buch für die Kinder;pg8392.epub;Literature;Fick, H. H. (Henry H.)
Young People's Pride: A Novel;pg8403.epub;Literary;Ben Stephen Vincent
The Ancestral Footstep (fragment)Outlines of an English Romance;pg8429.epub;literature;Hawthorne, Nathaniel
Rest Harrow: A Comedy of Resolution;pg8464.epub;Literary;Hewlett| Maurice
Ten Great Events in History;pg8507.epub;History;Johonnot, James
The Puritans;pg8522.epub;Literary;Bates| Arlo
The Woman with the Fan;pg8549.epub;Literary;Hichens| Robert
The Far Horizon;pg8569.epub;Literary;Malet| Lucas
The Philistines;pg8570.epub;Literary;Bates| Arlo
Cord and Creese;pg8572.epub;Detective and mystery ;De Mille, James
The Wheel O' Fortune;pg8596.epub;Literary;Tracy| Louis
The Uninhabited House;pg8602.epub;Horror;Riddell, J. H., Mrs.
